"PLUID","商品番号","商品名","中分類コード","在庫数","詳細登録","表示・非表示",
"0022677008158","7593","ラパラ:SR-5:FT::N","101","2","登録済み","表示",
"0022677008165","7594","ラパラ:SR-5:S::N","101","3","登録済み","表示",
"0022677008196","7595","ラパラ:SR-5:SD::N","101","4","登録済み","表示",
"0022677008226","7596","ラパラ:SR-5:SFC::N","101","3","登録済み","表示",
"0022677008233","10786","ラパラ:SSR-8:P::N","101","2","登録済み","表示",
"0022677008257","7610","ラパラ:SSR-8:FT::N","101","3","登録済み","表示",
"0022677008264","10787","ラパラ:SSR-8:S::N","101","1","登録済み","表示",
"0022677008332","7597","ラパラ:SR-7:P::N","101","1","登録済み","表示",
"0022677008356","7726","ラパラ:SR-7:FT::N","101","8","登録済み","表示",
"0022677008363","7598","ラパラ:SR-7:S::N","101","0","登録済み","表示",
"0022677008394","7599","ラパラ:SR-7:SD::N","101","0","登録済み","表示",
"0022677008424","11959","ラパラ:SR-7:SFC::N","101","5","登録済み","表示",
"0022677008431","7611","ラパラ:SSR-9:P::N","101","2","登録済み","表示",
"0022677008455","7612","ラパラ:SSR-9:FT::N","101","0","登録済み","表示",
"0022677008462","7720","ラパラ:SSR-9:S::N","101","3","登録済み","表示",
"0022677008639","7604","ラパラ:SSR-5:P::N","101","4","登録済み","表示",
"0022677008653","7605","ラパラ:SSR-5:FT::N","101","3","登録済み","表示",
"0022677008660","7715","ラパラ:SSR-5:S::N","101","4","登録済み","表示",
"0022677008691","7606","ラパラ:SSR-5:SD::N","101","4","登録済み","表示",
"0022677008721","7716","ラパラ:SSR-5:SFC::N","101","3","登録済み","表示",
"0022677008738","7600","ラパラ:SR-8:P::N","101","3","登録済み","表示",
"0022677008752","7601","ラパラ:SR-8:FT::N","101","1","登録済み","表示",
"0022677008769","7602","ラパラ:SR-8:S::N","101","3","登録済み","表示",
"0022677008783","7713","ラパラ:SR-8:SB::N","101","4","登録済み","表示",
"0022677008790","7603","ラパラ:SR-8:SD::N","101","0","登録済み","表示",
"0022677008837","7607","ラパラ:SSR-7:P::N","101","4","登録済み","表示",
"0022677008851","7608","ラパラ:SSR-7:FT::N","101","3","登録済み","表示",
"0022677008868","7729","ラパラ:SSR-7:S::N","101","0","登録済み","表示",
"0022677008899","7609","ラパラ:SSR-7:SD::N","101","5","登録済み","表示",
"0022677008912","7710","ラパラ:SR-7:G::N","101","0","登録済み","表示",
"0022677008929","7730","ラパラ:SSR-7:SFC::N","101","4","登録済み","表示",
"0022677008950","7717","ラパラ:SSR-5:G::N","101","3","登録済み","表示",
"0022677008967","7731","ラパラ:SSR-7:G::N","101","0","登録済み","表示",
